,max 2005-2014,min 2005-2014,max 2015,min 2015
07-26,304.95454545454544,235.93939393939394,326.3333333333333,238.0
07-27,306.4375,229.6818181818182,319.0,244.5
07-28,309.6666666666667,232.65625,317.3333333333333,251.0
07-29,313.51612903225805,237.68965517241378,323.0,251.5
07-30,311.8,233.4814814814815,319.25,241.0
07-31,308.96774193548384,238.31034482758622,320.75,246.5
08-01,309.03125,233.0952380952381,291.25,220.0
08-02,312.4193548387097,235.71875,316.25,234.0
08-03,315.8787878787879,241.36363636363637,283.0,228.0
08-04,306.0344827586207,239.86363636363637,308.0,226.5
08-05,309.0,235.08,319.0,239.75
08-06,314.3448275862069,240.27586206896552,309.6666666666667,233.0
08-07,310.5833333333333,237.26315789473685,302.75,242.66666666666666
08-08,309.34375,236.09677419354838,315.0,245.0
08-09,312.28125,238.76666666666668,312.5,235.5
08-10,311.3333333333333,238.29032258064515,319.25,243.25
08-11,315.6,232.93333333333334,319.25,244.0
08-12,313.7096774193548,234.58333333333334,288.25,235.0
08-13,312.07142857142856,239.22857142857143,316.5,246.0
08-14,310.44444444444446,236.75862068965517,318.75,247.75
08-15,305.6896551724138,237.52380952380952,321.5,249.0
08-16,313.7096774193548,237.03333333333333,321.5,234.0
08-17,309.2413793103448,237.06666666666666,317.6666666666667,255.33333333333334
08-18,309.7,236.79310344827587,322.3333333333333,248.0
08-19,310.4642857142857,239.4516129032258,322.0,246.33333333333334
08-20,305.52,234.03225806451613,321.5,250.0
08-21,314.2258064516129,235.75,319.75,245.0
08-22,312.06666666666666,235.9090909090909,316.75,252.25
08-23,307.6521739130435,236.92,318.25,260.0
08-24,308.2307692307692,237.9,316.6666666666667,254.5
08-25,308.03333333333336,235.77142857142857,315.5,259.0
08-26,308.7096774193548,233.1153846153846,318.25,259.0
08-27,300.9032258064516,235.25,319.5,265.0
08-28,308.6551724137931,234.84848484848484,321.75,260.75
08-29,308.6774193548387,231.96296296296296,329.25,255.5
08-30,306.30434782608694,232.08695652173913,322.0,259.3333333333333
08-31,312.32142857142856,235.5151515151515,322.75,263.5
09-01,314.44444444444446,235.03333333333333,323.25,257.5
09-02,312.93333333333334,237.6451612903226,325.5,261.25
09-03,308.67857142857144,235.84,325.5,268.25
09-04,311.6,229.8148148148148,324.5,254.0
09-05,304.2068965517241,234.82142857142858,322.75,223.0
09-06,308.5882352941176,231.76923076923077,327.0,246.0
09-07,317.3103448275862,234.41935483870967,323.0,250.0
09-08,308.75,235.93548387096774,323.75,243.0
09-09,316.51612903225805,235.3793103448276,325.75,251.0
09-10,308.1,240.47619047619048,315.25,242.33333333333334
09-11,315.3103448275862,233.96875,325.6666666666667,246.0
09-12,312.5806451612903,238.46666666666667,319.5,255.66666666666666
09-13,314.1333333333333,237.8181818181818,321.3333333333333,248.5
09-14,314.962962962963,240.5483870967742,316.75,252.0
09-15,304.0,235.43478260869566,295.5,260.0
09-16,312.5,235.94594594594594,310.3333333333333,243.0
09-17,305.3448275862069,237.92857142857142,318.0,254.0
09-18,311.59375,237.0,321.0,246.0
09-19,314.61538461538464,238.56666666666666,325.3333333333333,245.0
09-20,317.54545454545456,238.4814814814815,331.25,248.5
09-21,316.2647058823529,235.06896551724137,317.75,255.33333333333334
09-22,311.76666666666665,236.06666666666666,318.75,250.0
09-23,317.37931034482756,236.4516129032258,321.5,238.66666666666666
09-24,312.51612903225805,237.36666666666667,328.0,251.0
09-25,310.8666666666667,231.20833333333334,323.5,236.33333333333334
09-26,308.2647058823529,231.8181818181818,325.5,240.0
09-27,311.6666666666667,237.53125,324.6666666666667,248.0
09-28,316.2,234.11111111111111,328.25,240.33333333333334
09-29,318.23333333333335,237.55882352941177,314.5,248.75
09-30,315.2121212121212,230.8846153846154,320.6666666666667,252.66666666666666
10-01,315.7857142857143,233.4,323.75,250.0
10-02,313.94117647058823,232.4,318.75,234.33333333333334
10-03,318.60714285714283,234.78125,321.6666666666667,241.33333333333334
10-04,309.65625,237.25806451612902,321.3333333333333,248.75
10-05,309.03225806451616,233.27586206896552,317.3333333333333,248.33333333333334
10-06,313.0344827586207,232.80645161290323,322.5,252.0
10-07,306.84375,233.74074074074073,320.6666666666667,237.33333333333334
10-08,313.7586206896552,236.42307692307693,322.0,246.0
10-09,320.0,237.12121212121212,328.0,243.75
10-10,318.75,237.0857142857143,324.3333333333333,247.0
10-11,314.64516129032256,239.03571428571428,329.25,237.5
10-12,309.2352941176471,237.58620689655172,328.0,247.5
10-13,310.2692307692308,233.07142857142858,331.75,243.33333333333334
10-14,314.15625,235.0857142857143,327.25,245.75
10-15,319.55555555555554,237.57575757575756,335.75,250.75
10-16,316.5483870967742,235.40625,322.5,255.75
10-17,317.85714285714283,237.78125,328.0,256.5
10-18,318.1333333333333,236.57142857142858,325.5,250.66666666666666
10-19,312.38709677419354,236.67741935483872,329.25,248.0
10-20,311.55555555555554,234.93333333333334,329.0,242.0
10-21,309.2857142857143,237.32142857142858,326.25,250.0
10-22,309.1212121212121,237.46666666666667,335.25,248.25
10-23,312.2,234.24137931034483,323.6666666666667,249.33333333333334
10-24,312.60714285714283,236.22222222222223,317.0,251.0
10-25,314.8484848484849,234.19354838709677,316.25,251.0
10-26,316.56666666666666,235.3448275862069,324.0,234.0
10-27,313.06451612903226,235.78571428571428,324.25,237.0
10-28,316.06451612903226,234.71428571428572,300.75,221.0
10-29,317.58620689655174,235.74193548387098,318.0,235.66666666666666
10-30,313.93548387096774,233.0,319.25,235.0
10-31,310.8965517241379,234.2,311.75,241.33333333333334
11-01,315.3333333333333,235.10344827586206,320.25,244.5
11-02,312.5882352941176,235.63333333333333,323.5,252.0
11-03,312.8125,233.875,325.0,245.25
11-04,310.6774193548387,235.06666666666666,319.0,242.0
11-05,308.4516129032258,230.1,326.25,248.0
11-06,306.3235294117647,229.78571428571428,317.75,243.0
11-07,317.82608695652175,231.79310344827587,313.6666666666667,248.0
11-08,311.6551724137931,234.68965517241378,307.3333333333333,247.66666666666666
11-09,309.15625,236.26923076923077,313.0,245.0
11-10,302.93939393939394,234.03125,321.25,250.0
11-11,307.42857142857144,232.4814814814815,316.0,245.5
11-12,308.5882352941176,233.96428571428572,317.25,247.25
11-13,306.5416666666667,232.96428571428572,323.0,241.66666666666666
11-14,304.57142857142856,232.28571428571428,324.0,246.33333333333334
11-15,302.6666666666667,230.92857142857142,311.5,240.66666666666666
11-16,306.52,235.73333333333332,299.3333333333333,242.0
11-17,311.65625,234.58620689655172,295.5,238.75
11-18,307.1,232.76923076923077,323.25,247.25
11-19,304.030303030303,230.28571428571428,321.0,247.0
